CQM,Date,Arrival Time,Machine Down?,Problem Code,Fault Found  by vendor,Remarks
4C47,01-Jun,11:00,N,NUD,jam cheque at scanner.,removed the jam cheque. Adjust the yellow belt. Tested ok.
4C47,02-Jun,11:00,N,HCA,CAS feed,Replace cas printer. Test ok
4C47,03-Jun,16:05,N,NUD,Cheque jam,The bin 1 solenoid is shift. Fix the bin 1 solenoid and clean scanner. Test ok.
4C47,04-Jun,11:30,N,NZA,CAS jam,Rescrew the printer screw and clean scanner. Test ok.
4C48,14-Jun,21:15,N,NGB,F6 sensor engaged,"Clean sensor, fix endorsement blur"
4C48,30-Jun,15:25,N,Request,Search cheque,downlog no find cheque
4C49,14-Jun,21:10,Y,HTP,Parts loose (Knob of bend),Reinstall knob
4C49,22-Jun,10:30,Y,HTP,Jammed cheuqe,"Remove cheque near in red belt, replace 351 belt, clean sensor and roller. Test OK."
4C49,30-Jun,15:25,N,Request,Search cheque,"downlog, one cheque in retain slot"
4C4A,08-Jun,11:00,N,NZA,CAS,Replace ribbon. Adjust printer switch.
4C4B,09-Jun,16:45,N,Request,Pm check,PM CHECK with reference to RI/PM/202001. replaced o-ring collection.
4C4B,11-Jun,14:05,N,NUD,Jammed cheque,"Clean alinger, sensor and roller. Test OK."
4C4B,30-Jun,13:50,N,NUD,jam cheque,"jam aligner, clean rollers"
4C4C,04-Jun,18:50,N,NBZ,Upper cover lock,Replace upper cover lock.
4C4D,03-Jun,16:00,N,NIA,Crossing problem,"Replace ink roller and o-ring, clean scanner. Test OK."
4C4D,12-Jun,15:10,N,Request,Esu activation,Esu activation
4C4E,02-Jun,16:30,N,Request,Health check,Replaced upper door lock and o-ring collection.
4C4E,09-Jun,17:40,N,Request,Pm check,PM CHECK with reference to RI/PM/202001.
4C4F,11-Jun,12:10,N,Request,Pm check,"Pm check with reference to document RI/PM/202006,ESU activation"
4C4F,15-Jun,17:15,N,NUD,jam cheque and search cheque,"remove cheque from bin, no cheque found and reported to MR. Au"
4C50,05-Jun,10:00,Y,HTP,Jam cheque,Remove jammed cheque at bin 1. Replace o-ring (collection path). Fix bin 1 roller.
4C51,15-Jun,15:20,N,NBZ,Upper door can't open.,need follow upper door lock.
4C51,15-Jun,20:55,N,Request,Follow up,replaced the upper door lock. Report to atm(ms go)
4C53,19-Jun,17:15,N,NIC,No endorsement,"No rear image ,Replug scanner cable ,test ok"
4C54,06-Jun,10:00,N,NUD,Cheque jam,Cheque jammed at escrow. Remove cheque and clean sensor F8. Test ok.
4C55,26-Jun,14:30,N,NUD,Jammed cheque,"Adjust and cleaned roller (escow), tested ok"
4C57,11-Jun,17:55,N,NGB,jam cheque,"F29 and F1 dirty. Clean sensors, replaced stamp"
4C57,12-Jun,10:45,N,NGB,CAS no image,Image not arrived. Replug scanner cable. Serviced machine. Test OK.
4C57,16-Jun,14:05,N,Request,health check box wire.  Jam cheque,"replace wire in box, test ok"
4C57,19-Jun,10:00,N,NUD,Jammed cheque,"Remove jammed cheque, rearrange cheque in box. Adjusted sorter roller. Serviced machine. Test OK."
4C58,02-Jun,11:00,N,NUD,Jammed cheque,Remove jammed cheque at sorter. Rearrange cheque in bin. Serviced machine. Test Ok.
4C5A,01-Jun,15:20,N,NZA,CAS jammed,"Check printer and setting, clean sensor and roller. Test OK."
4C5A,03-Jun,17:15,N,NZA,No cas,"Missing 24v,adjust micro switch,test ok"
4C5A,05-Jun,10:20,N,Request,Health check - advise,"Cleaned roller, setting printer, tested ok"
4C5A,08-Jun,11:00,N,NZA,Advise blur,"Adjust gate, tested ok"
4C5A,12-Jun,11:45,N,NZA,CAS problem,"Check printer and setting, clean sensor and roller. Test OK."
4C5A,16-Jun,14:15,N,Request,Pm check + CAS feed inside,"Pm check with reference to document RI/PM/202006,ESU activation"
4C5A,20-Jun,10:05,N,Request,Health Check,"Check printer, clean sensor and adjust printer roller. Test OK."
4C5A,27-Jun,10:55,N,Request,Health Check - Advise,"Cleaned roller, tested ok"
4C5B,08-Jun,18:00,N,NZA,CAS problem,"Check printer and setting, clean sensor and roller. Test OK."
4C5B,09-Jun,10:45,N,NOZ,CAS JAM,machine is ok when on arrival. Clean cas printer
4C5B,10-Jun,14:00,N,NOZ,Out of service,"machine arrived normal,check log jam cas at last night,cleaning cas printer roller and renew cas"
4C5C,06-Jun,10:30,N,NZA,No CAS,Removed jam small paper.
4C5C,08-Jun,10:00,Y,HCA,No CAS,"Replace printer, clean scanner and roller. Test OK."
4C5C,12-Jun,15:00,N,Request,Health check,Health check. Remove jammed CAS. Cleaned print head and roller. 
4C5C,12-Jun,15:00,N,NZA,No CAS,Remove jammed CAS. Cleaned print head and roller. Serviced machine. Test OK.
4C5C,17-Jun,16:00,N,Request,Healthcheck printer,remove jam advice from cutter
4C5C,29-Jun,14:30,N,Request,PM Check,PM CHECK with reference to RI/PM/202001. Activation ESU
4C5D,17-Jun,10:15,N,Request,PM Check,"Clean sensor, roller, scanner and ESU. Test OK."
4C5D,18-Jun,17:10,N,NUD,Jam cheque at scanner.,removed jam cheque at scanner. Removed jammed cheque. Adjust gap.
4C5F,04-Jun,10:00,N,Request,Health check - advise,"Check printer and setting, clean roller. Test Ok."
4C5F,05-Jun,10:30,N,Request,Health Check ,Health Check - Clean printer
4C5F,05-Jun,10:30,N,NZA,CAS jam,The CAS plastic roller is loosen. Fix the roller and clean printer. Test ok.
4C5F,07-Jun,16:00,N,NZA,Jam advice,reinstall the advice. Tested ok.
4C5F,11-Jun,10:45,N,NZA,No CAS,Remove jammed CAS. Serviced machine. Test OK.
4C5F,12-Jun,13:30,N,NZA,Jam CAS,Remove CAS & paper bits
4C5F,13-Jun,11:45,N,NGB,Out of service,Clean F29.
4C5F,18-Jun,10:45,N,Request,Health Check - Advise,"Replace CAS printer, reinstalled the driver, tested ok"
4C60,05-Jun,21:40,N,NZA,CAS problem,"Check printer and setting, clean sensor and roller. Test OK."
4C60,09-Jun,15:40,N,NGB,Out of service.,Clean F6 sensor. Tested ok.
4C61,10-Jun,9:30,N,Request,Pm check,PM CHECK with reference to RI/PM/202006. Replace ink roller and ribbon plate roller. Activate ESU key.
4C61,16-Jun,11:00,N,NIB,No endorsement,replaced ribbon. Clean scanner and roller perform TSP. tested ok.
4C63,03-Jun,10:40,N,NUD,jam cheque at scanner.,removed culved cheque. Adjusted scanner gap.
4C63,10-Jun,12:00,N,NUD,Jammed at scanner last night,Clean scanner belt & paper path
4C64,12-Jun,11:55,N,Request,Bar lock loose,"Adjust bar lock, clear black line"
4C64,19-Jun,11:30,N,Request,Pm check,"Pm check with reference to document RI/PM/202006,ESU activation"
4C64,29-Jun,18:55,N,NOZ,Jam cheque,"machine arrived normal,cleaning and adjust 380(L8) belt"
4C68,02-Jun,10:45,N,NGB,Out of service,Clean F1 sensor. Adjust input block.
4C68,06-Jun,18:15,N,NGB,Out of service.,Machine normal. Check log. FFFFFFD problem. Clean the F29 and F1 senosr. Adjust the open gate. Tested ok.
4C68,16-Jun,9:40,N,NIC,Image small,clean scanner and roller. Perform TSP. tested ok.
4C69,07-Jun,12:50,N,NGB,Jam cheque ,machine Normal. Clean the F29 F1 sensor. Tested ok.
4C69,10-Jun,14:20,N,NUD,Jammed cheque,"Check the collection box, fixed the bin 1 solenoid. Test OK."
4C69,11-Jun,18:00,N,NIC,Image small,clean scanner smj.
4C69,12-Jun,11:45,N,Request,Pm check,"Pm check with reference to document RI/PM/202006,ESU activation"
4C69,15-Jun,11:15,N,NUD,Jammed cheuqe,"Remove cheque near in bin 2, adjust bin 2 solenoid, clean sensor and roller. Test OK."
4C69,15-Jun,17:10,N,NZA,CAS problem,"Check printer, clean sensor and roller. Test OK."
4C6A,23-Jun,14:25,N,NUD,Jammed cheque,"Cleaned sensor (F6, F29), tested ok"
4C6B,15-Jun,13:30,Y,HTP,Jammed cheque,"Replace o-ring (fat, feeder) and stamp, tested ok"
4C6C,29-Jun,12:00,N,NGC,Windows crashed,must follow to reload
4C6C,30-Jun,9:30,N,Request,Windows crashed,Reload Program
4C6F,16-Jun,11:50,N,NGB,OUt of service,clean scanner and roller. Perform TSP. tested ok.
4C6F,16-Jun,21:45,N,NUD,Jammed cheque,"Adjust yellow belt, clean sensor and roller. Test oK."
4C70,05-Jun,16:15,N,NUB,Rejected cheque,"Adjust thickness adjuster, clean sensor and roller. Test OK."
4C70,26-Jun,15:00,N,Request,PM CHECK,PM CHECK with reference to RI/PM/202001. Replaced stamp.
4C71,29-Jun,16:30,N,NGB,Idle,"Cleaned sensor F10, F11. Replaced stamp. Serviced machine. Test OK."
4C72,01-Jun,15:00,N,HCA,No advise,Replace cas printer. Test ok
4C72,26-Jun,16:00,N,NUD,Solenoid (aligner) missing c-ring,"Remove cheque at aligner, install new c-ring, clear white line image"
4C73,07-Jun,15:30,N,NZA,Jam advice,Clean the cutter. Tested ok.
4C73,09-Jun,14:30,N,Request,Health check - advise,machine normal. Clean cutter. Printer and roller. Tested ok.
4C73,10-Jun,14:00,N,Request,Health Check CAS,CAS can't cut. Clean cas cutter and clean scanner. Test ok.
4C73,10-Jun,14:00,N,NZA,CAS,Clean printer
4C73,23-Jun,15:00,N,NZA,CAS can't cut,"Clear paper bits, clean scanner & stamp"
4C73,25-Jun,12:20,N,Request,Health checked,replaced the CAS printer. Tested ok.
4C73,26-Jun,13:30,N,NZA,Jam advice,clean roller and print head. 
4C73,27-Jun,9:50,N,Request,Health check CAS,CAS jammed at cutter. Adjust the printer's arm and adjust the metal film. Clean scanner and test ok.
4C73,29-Jun,21:10,N,NGA,Out of service,need follow replaced csd main power supply
4C73,30-Jun,10:30,N,Request,Follow up,Replace main power supply and fuse.
4C73,30-Jun,11:50,N,Request,Health check,Replace box wire.
4C74,26-Jun,16:00,N,NUD,Jam cheque at bin 1,adjust the solenoid of bin 1. tested ok.
4C74,29-Jun,11:30,N,NUD,Jam cheque at bin 1,replaced the solenoid of bin 1. tested ok.
4C76,05-Jun,9:30,N,Request,Pm check,PM CHECK with reference to RI/PM/202001.
4C76,05-Jun,9:30,Y,HCR,Card reader,cardreader problem. Need follow up.
4C76,05-Jun,12:20,N,Request,Follow up,replaced cardreader.
4C76,13-Jun,11:30,N,NGA,No power,"Check machine power and cable, reinstalled power cable, ESU. Test OK."
4C76,13-Jun,11:30,N,Request,Health Check,Esu activation
4C77,27-Jun,10:30,Y,HTP,Jammed cheque,"Adjust the thickness adjuster, replace o-ring. Test OK."
4C78,02-Jun,19:30,N,Request,Health checked ,adjust the CAS printer. Tested ok.
4C78,30-Jun,15:25,N,Request,Search cheque,downlog no find cheque
4C79,18-Jun,12:10,N,Request,Pm check,"Pm check with reference to document RI/PM/202006,ESU activation"
4C79,24-Jun,9:00,Y,HTP,Tooth belt worn out,"Replace tooth belt behind scanner, adjust bend belt"
4C7A,04-Jun,10:40,N,Request,Pm check,"Pretentive Maintenance, ESU activation"
4C7A,12-Jun,10:15,N,NGB,Jammed cheque,Lift operating error. No jammed found. Restarted machine. Test OK.
4C7A,20-Jun,10:00,N,NZA,CAS,Restarted CAS printer. Serviced machine. Test OK.
4C7A,21-Jun,10:30,N,NZA,Out of service,The printer is disable. Reset the printing setting and clean scanner. Test ok.
