Last Replaced,CQM
02/07/2009,HASE DPM1002/00419 CQM4C4D
21/07/2009,HASE DPM1002/00415 CQM4C4B
08/08/2009,HSBC DPM1002/00136 CQM585A
18/08/2009,HSBC DPM1002/00504 CQM58D2
19/08/2009,HT CONSULTING
26/08/2009,HSBC DPM1002/00133 CQM585D
05/09/2009,HSBC DPM1002/00250 CQM5857
09/09/2009,BOC DPM1002/00848 CDM67028
10/09/2009,BOC DPM1002/00790 CDM67019
25/09/2009,HSBC DPM1002/00314 CQM58A4
16/10/2009,HASE DPM1002/00646 CQM4C32
20/10/2009,HASE DPM1002/00646 CQM4C32
30/10/2009,HASE DPM1002/00296 CQM4C1C
12/11/2009,HASE DPM1002/00280 CQM4C1B
18/11/2009,BOC DPM1002/00633 CDM67001
19/11/2009,BOC DPM1002/00847 CDM67027
10/12/2009,HSBC DPM1002/00266 CQM5889
21/12/2009,HSBC DPM1002/00282 CQM4C68
04/01/2009,HSBC DPM1002/00395 CQM587E
07/01/2010,HSBC DPM1002/00282 CQM4C68
11/01/2010,BOC DPM1002/00993 CQM67061
15/01/2010,HSBC DPM1002/00122 CQM5854
25/01/2010,HSBC DPM1002/00123 CQM5852
27/01/2010,HSBC DPM1002/00365 CQM5895
23/02/2010,Rototype
05/03/2010,HSBC DPM1002/00835 CQM58CB
18/03/2010,HSBC DPM1002/00265 CQM588A
24/03/2010,HSBC DPM1002/00416 CQM4C9C
25/03/2010,In House Repair
23/03/2010,HSBC DPM1002/00414 CQM4C13
14/04/2010,HSBC DPM1002/00369 CQM589C
24/04/2010,HSBC DPM1002/00397 CQM58A2
29/04/2010,HASE DPM1002/00292 CQM4C38
04/05/2010,HT CONSULTING
06/05/2010,HASE DPM1002/00278 CQM4C0D
06/05/2010,HASE DPM1002/00217 CQM4C0A
11/05/2010,HSBC DPM1002/00104 CQM5853
13/05/2010,HASE DPM1002/01126 CQM4C66
24/05/2010,HSBC DPM1002/00123 CQM5852
04/06/2010,HSBC DPM1002/00224 CQM5866
06/06/2010,HSBC DPM1002/00833 CQM58AB
17/06/2010,HASE DPM1002/00303 CQM4C2E
17/06/2010,HASE DPM1002/00303 CQM4C2E
18/06/2010,HASE DPM1002/00542 CQM4C06
12/07/2010,HASE DPM1002/00418 CQM4C4E
13/07/2010,BOC DPM1002/01104 CDM67085
15/07/2010,HSBC DPM100200397 CQM58A2
21/07/2010,BOC DPM1002/01283 CQM67135
22/07/2010,HSBC DPM1002/01146 CQM58DA
23/07/2010,HASE DPM1002/01127 CQM4C67
30/07/2010,HSBC DPM1002/00497 CQM58FE
06/08/2010,HSBC DPM1002/00368 CQM5802
11/08/2010,HT CONSULTING
11/08/2010,HASE DPM1002/00443 CQM4C55
14/08/2010,HSBC DPM1002/00266 CQM5828
30/08/2010,In House Repair
02/09/2010,HASE DPM1002/00448 CQM4C5C
04/09/2010,HSBC DPM1002/00273 CQM5809
06/09/2010,HASE DPM1002/00450 CQM4C16
08/09/2010,HSBC DPM1002/00445 CQM4C4F
10/09/2010,HSBC DPM1002/00249 CQM5856
14/09/2010,BOC DPM1002/00768 CDM67016
14/09/2010,BOC DPM1002/00627 CDM67013
27/09/2010,HASE DPM1002/00274 CQM4COB
27/09/2010,HSBC DPM1002/00501 CQM58C7
28/09/2010,HASE DPM1002/00550 CQM4C2D
04/10/2010,HASE DPM1002/00554 CQM4C6B
06/10/2010,HASE DPM1002/00506 CQM4C44
09/10/2010,HASE DPM1002/00297 CQM4C42
20/10/2010,BOC DPM1002/01290 CDM67142
19/10/2010,HSBC DPM1002/00272 CQM588C
01/11/2010,HSBC DPM1002/00132 CQM585C
16/11/2010,HASE DPM1002/00276 CQM4C0C
18/11/2010,HASE DPM1002/00412 CQM4C09
07/12/2010,HASE DPM1002/00415 CQM4C4B
13/12/2010,HASE DPM1002/00592 CQM4C6D
17/12/2010,BOC DPM1002/00993 CDM67067
22/12/2010,HASE DPM1002/00282 CQM4C68
04/01/2011,HT CONSULTING
04/01/2011,BOC DPM1002/00868 DPM67044
03/01/2011,HASE DPM1002/00523 CQM4C8B
06/01/2011,HASE DPM1002/00551 CQM4C20
06/01/2011,HASE DPM1002/00277 CQM4C43
07/01/2011,BOC DPM1002/00995 CDM67066
07/01/2011,HASE DPM1002/00277 CQM4C43
11/01/2011,HSBC DPM1002/00134 CQM585E
14/01/2011,BOC DPM1002/00848 CDM67028
24/01/2011,BOC DPM1002/00796 CDM67024
24/01/2011,HASE DPM1002/01018 CQM4C46
24/01/2011,HASE DPM1002/01019 CQM4C47
26/01/2011,HASE DPM1002/01440 CQM4C40
07/02/2011,HASE DPM1002/00413 CQM4C10
11/02/2011,HSBC DPM1002/00498 CQM58C5
16/02/2011,HASE DPM1002/00446 CQM4C5A
17/02/2011,HSBC DPM1002/00498 CQM58C5
03/03/2011,HSBC DPM1002/00344 CQM5871
16/03/2011,HASE DPM1002/00279 CQM4C0E
21/03/2011,HSBC DPM1002/00267 CQM5885
07/04/2011,HT CONSULTING
15/04/2011,BOC DPM1002/00633 CDM67001
26/04/2011,HASE DPM1002/00537 CQM4C26
28/04/2011,BOC DPM1002/01246 CDM67117
20/04/2011,HSBC DPM1002/00454 CQM58A3
05/05/2011,HSBC DPM1002/00250 CQM5857
13/05/2011,HSBC DPM1002/00257 CQM5892
01/06/2011,HSBC DPM1002/00317 CQM588F
31/05/2011,HASE DPM1002/00594 CQM4C5D
03/06/2011,BOC DPM1002/00864 CDM67040
04/06/2011,HSBC DPM1002/00364 CQM58B3
07/06/2011,BOC DPM1002/01237 CDM67107
10/06/2011,HASE DPM1002/01130 CQM5C60
11/06/2011,HSBC DPM1002/00503 CQM5882
03/06/2011,HASE DPM1002/00559 CQM4C21
17/06/2011,BOC DPM1002/00793 CDM67023
29/06/2011,FasttrackSolutions Inc
29/06/2011,HASE DPM1002/00442 CQM4C05
04/07/2011,HSBC DPM1002/00497 CQM58FE
07/07/2011,HASE DPM1002/01186 CQM4C62
14/07/2011,HASE DPM1002/01023 CQM4C51
14/07/2011,HSBC DPM1002/00308 CQM588D
14/07/2011,HAES DPM1002/00526 CQM4C8E
15/07/2011,HASE DPM1002/00298 CQM4C39
20/07/2011,HSBC DPM1002/00367 CQM58BF
25/07/2011,HSBC DPM1002/00500 CQM58D4
27/07/2011,HASE DPM1002/01185 CQM4C61
05/08/2011,HSBC DPM1002/000227 CQM586B
05/08/2011,HSBC DPM1002/000452 CQM58B2
08/08/2011,HSBC DPM1002/00956 CQM58CE
11/08/2011,BOC DPM1002/00625 CDM67005
12/08/2011,BOC DPM1002/00858 CDM67034
19/08/2011,HSBC DPM1002/00253 CQM5879
23/08/2011,HASE DPM1002/00536 CQM4C30
23/08/2011,HASE DPM1002/01191 CQM4C70
24/08/2011,HASE DPM1002/01091 CQM4C57
26/08/2011,HASE DPM1002/00447 CQM4C15
31/08/2011,HSBC DPM1002/00845 CQM5807
02/09/2011,HASE DPM1002/00449 CQM4C9E
03/09/2011,BOC DPM1002/01141 CDM67110
05/09/2011,BOC DPM1002/00791 CQM67021
07/09/2011,BOC DPM1002//00790 CQM67019
07/09/2011,HSBC DPM1002/00499 CQM58D7
17/08/2011,HASE DPM1002/00556 CQM4C6C
09/09/2011,HSBC DPM1002/00225 CQM5867
19/09/2011,HASE DPM1002/01190 CQM4C65
26/09/2011,HSBC DPM1002/00507 CQM58DE
30/09/2011,BOC DPM1002/01234 CQM67113
04/10/2011,HASE DPM1002/00543 CQM4C41
04/10/2011,BOC DPM1002/01002 CQM67078
03/10/2011,BOC DPM1002/00855 CDM67031
06/10/2011,HASE DPM1002/01192 CQM4C71
12/10/2011,HASE DPM1002/01020 CQM4C50
14/10/2011,HSAE DPM1002/00300 CQM4C3D
12/10/2011,HSAE DPM1002/00290 CQM4C1F
17/10/2011,BOC DPM1002/00629 CDM67002
17/10/2011,BOC DPM1002/00951 CDM67051
15/10/2011,BOC DPM1002/00863 CDM67039
19/10/2011,HSBC DPM1002/00134 CQM585E
23/10/2011,HASE DPM1002/00281 CQM4C11
29/10/2011,HASE DPM1002/00520 CQM4C14
31/10/2011,HT CONSULTING
10/11/2011,BOC DPM1002/01003 CDM67071
14/11/2011,HSBC DPM1002/00269 CQM5887
21/11/2011,BOC DPM1002/01006 CDM67075
21/11/2011,HSBC DPM1002/00105 CQM58FB
25/11/2011,BOC DPM1002/00903 CDM67049
25/11/2011,BOC DPM1002/00953 CDM67055
29/11/2011,HASE DPM1002/01356 CQM4C76
30/11/2011,BOC DPM1002/01102 CDM67211
02/12/2011,HASE DPM1002/00300 CQM4C3D
02/12/2011,BOC DPM1002/01010 CDM67178
03/12/2011,BOC DPM1002/00991 CDM67059
08/12/2011,HSBC DPM1002/00370 CQM58BA
08/12/2011,HASE DPM1002/01189 CQM4C63
13/12/2011,HSBC DPM1002/00360 CQM5896
09/12/2011,BOC DPM1002/01013 CDM67054
10/12/2011,HSBC DPM1002/00504 CQM58D2
16/12/2011,HSBC DPM1002/00314 CQM58A4
15/12/2011,HSBC DPM1002/00533 CQM58E3
15/12/2011,HASE DPM1002/01017 CQM4C8A
15/12/2011,BOC DPM1002/00866 CDM67042
22/12/2011,HASE DPM1002/00595 CDM4C33
23/12/2011,BOC DPM1002/01110 CDM67100
22/12/2011,BOC DPM1002/00788 CDM67017
17/12/2011,HSBC DPM1002/00305 CQM587D
20/12/2011,HSBC DPM1002/00844 CQM5841
28/12/2011,BOC DPM1002/01235 CQM67105
28/12/2011,HSBC DPM1002/01124 CQM5816
30/12/2011,HSBC DPM1002/00371 CQM58C0
30/12/2011,HSBC DPM1002/00127 CQM5858
30/12/2011,HASE DPM1002/00527 CQM4C7A
06/01/2012,BOC DOM1002/01464 CDM67081
13/01/2012,BOC DPM1002/00789 CDM67018
17/01/2012,BOC DPM1002/01096 CDM67088
19/01/2012,HSBC DPM1002/00515 CQM58D9
19/01/2012,BOC DPM1002/00792 CQM67022
02/02/2012,BOC DPM1002/00856 CQM67032
02/02/2012,HSBC DPM1002/00137 CQM585B
04/02/2012,BOC DPM1002/01100 CDM67091
07/02/2012,HSBC DPM1002/00311 CQM589A
09/02/2012,HASE DPM1002/00542 CQM4C06
13/02/2012,BOC DPM1002/00992 CDM67060
13/02/2012,HSBC DPM1002/00271 CQM5883
14/02/2012,HSBC DPM1002/00221 CQM58C8
16/02/2012,BOC DPM1002/01417 CDM67174
16/02/2012,BOC DPM1002/00621 CDM67010
22/02/2012,HASE DPM1002/00539 CQM4C7C
24/02/2012,HASE DPM1002/00398 CQM4C3F
29/02/2012,In House Repair
02/03/2012,HASE DPM1002/00594 CQM4C5D
06/03/2012,HASE DPM1002/01087 CQM4C53
03/03/2012,HSBC DPM1002/00306 CQM5840
08/03/2012,HASE DPM1002/01232 CQM4C72
14/03/2012,HSBC DPM1002/00372 CQM58B7
16/03/2012,HSBC DPM1002/00304 CQM587F
21/03/2012,BOC DPM1002/00628 CDM67012
23/03/2012,BOC DPM1002/00990 CDM67058
31/03/2012,Stocktake
03/04/2012,BOC DPM1002/00902 CDM67048
12/04/2012,BOC DPM1002/00631 CDM67006
17/04/2012,BOC DPM1002/00634 CDM67008
27/04/2012,BOC DPM1002/1455 CDM67187
30/04/2012,HSBC DPM1002/00343 CQM58ED
03/05/2012,HSBC DPM1002/00255 CQM5875
04/05/2012,BOC DPM1002/01236 CDM67106
04/05/2012,HASE DPM1002/01128 CQM4C58
14/05/2012,HSBC DPM1002/00318 CQM5893
16/05/2012,HASE DPM1002/00592 CQM4C6D
19/05/2012,HSBC DPM1002/00375 CQM58A5
25/05/2012,BOC DPM1002/00624 CQM67007
28/05/2012,HSBC DPM1002/00127 CQM5858
29/05/2012,HSBC DPM1002/00396 CQM55839
05/06/2012,HSBC DPM1002/00258 CQM586D
08/06/2012,BOC DPM1002/01142 CDM67111
11/06/2012,HSBC DPM1002/00502 CQM58D3
11/06/2012,HASE DPM1002/01193 CQM4C69
12/06/2012,BOC DPM1002/00952 CDM67053
13/06/2012,HASE DPM1002/00593 CQM4C17
15/06/2012,HSBC DPM1002/00129 CDM5850
15/06/2012,HSBC DPM1002/00535 CQM58E5
15/06/2012,HSBC DPM1002/00263 CQM5861
12/06/2012,HSBC DPM1002/00339 CQM589B
18/06/2012,HSBC DPM1002/00345 CQM587C
21/06/2012,HASE DPM1002/00293 CQM4C6F
21/06/2012,HSBC DPM1002/00496 CQM58D8
03/07/2012,HASE DPM1002/00215 CQM4C00
03/07/2012,BOC DPM1002/00849 CDM67029
03/07/2012,HSBC DPM1002/00219 CQM5863
10/07/2012,HSBC DPM1002/00955 CQM58CD
10/07/2012,HASE DPM1002/00278 CQM4c0D
11/07/2012,HASE DPM1002/00280 CQM4C1B
11/07/2012,HASE DPM1002/00525 CQM4C29
17/07/2012,BOC DPM1002/01001 CDM67065
23/07/2012,HSBC DPM1002/00252 CDM5876
26/07/2012,BOC DPM1002/00996 CDM67067
26/07/2012,BOC DPM1002/01312 CDM67808
26/07/2012,HSBC DPM1002/00342 CQM5899
28/07/2012,HASE DPM1002/00529 CQM4C9F
30/07/2012,HSBC DPM1002/00227 CQM586B
31/07/2012,BOC DPM1002/01252 CDM67123
31/07/2012,HSBC DPM1002/00508 CQM58D0
01/08/2012,BOC DPM1002/01107 CDM67198
10/08/2012,BOC DPM1002/01280 CDM67132
11/08/2012,CITI DPM1002/00769 CDM3901
13/08/2012,HASE DPM1002/00417 CQM4C4A
15/08/2012,BOC DPM1002/01302 CDM67149
23/08/2012,BOC DPm1002/00862 CDM67038
24/08/2012,BOC DPM1002/01287 CDM67139
30/08/2012,HSBC DPM1002/00647 CQM5814
30/08/2012,HSBC DPM1002/01266 CQM5818
30/08/2012,HSBC DPM1002/00361 CQM58BB
01/09/2012,BOC DPM1002/01426 CDM67184
04/09/2012,HSBC DPM1002/01121 CDM5801
05/09/2012,HASE DPM1002/00295 CQM4C1D
05/09/2012,HSBC DPM1002/00374 CQM58BD
04/09/2012,BOC DPM1002/00847 CDM67027
06/09/2012,BOC DPM1002/00987 CDM67056
05/09/2012,HSBC DPM1002/00254 CQM5874
10/09/2012,HSBC DPM1002/00136 CQM585A
11/09/2012,BOC DPM1002/00846 CDM67026
09/09/2012,HSBC DPM1002/01014 CQM5803
10/09/2012,BOC DPM1002/00869 CDM67045
11/09/2012,BOC DPM1002/01252 CDM67123
12/09/2012,HASE DPM1002/01225 CQM4C28
14/09/2012,HASE DPM1002/00419 CQM4C4D
18/09/2012,BOC DPM1002/01008 CDM67077
19/09/2012,HSBC DPM1002/00397 CQM58A2
27/09/2012,HSBC DPM1002/00286 CQM58E7
04/10/2012,HSBC DPM1002/00133 CQM585D
08/10/2012,BOC DPM1002/00622 CDM67015
10/10/2012,BOC DPM1002/01462 CDM67177
15/10/2012,FasttrackSolutions Inc
20/10/2012,HASE DPM1002/00299 CQM4C2F
22/10/2012,HSBC DPM1002/00307 CDM5891
27/10/2012,HSBC DPM1002/00341 CDM589D
31/10/2012,BOC DPM1002/01108 CDM67095
08/11/2012,BOC DPM1002/00794 CDM67020
15/11/2012,HASE DPM1002/00287 CQM4C35
14/11/2012,HSBC DPM1002/00395 CQM587E
15/11/2012,BOC DPM1002/00850 CDM67030
17/11/2012,HSBC DPM1002/00534 CQM58B4
27/11/2012,HASE DPM1002/00275 CQM4C02
11/12/2012,HASE DPM1002/00287 CQM4C35
14/12/2012,BOC DPM1002/00950 CDM67050
31/12/2012,HT CONSULTING
07/01/2013,HASE DPM1002/00411 CQM4C56
15/01/2013,HSBC DPM1002/00315 CQM5890
21/01/2013,HASE DPM1002/01129 CQM4C59
26/01/2013,BOC DPM1002/01011 CDM67076
28/01/2013,Rototype
04/02/2013,HSBC DPM1002/00227 CQM586B
08/02/2013,HSBC DPM1002/00253 CQM5879
08/02/2013,HASE DPM1002/00296 CQM4C1C
15/02/2013,HSBC DPM1002/00259 CQM5880
14/02/2013,HSBC DPM1002/01327 CQM58EA
16/02/2013,BOC DPM1002/00988 CDM67070
25/02/2013,BOC DPM1002/01109 CDM67169
21/02/2013,BOC DPM1002/01276 CDM67128
19/02/2013,HSBC DPM1002/00509 CDM58D6
27/02/2013,BOC DPM/1002/01316 CDM67157
28/02/2013,HASE DPM1002/00592 CQM4C6D
28/02/2013,Rototype
01/03/2013,In House Repair 
28/02/2013,HSBC DPM1002/00270 CQM5888
05/03/2013,BOC DPM1002/00627 CDM67013
05/03/2013,BOC DPM1002/00903 CDM67049
05/03/2013,HASE DPM1002/00445 CQM4C4F
07/03/2013,HSBC DPM1002/00123 CQM5852
08/03/2013,BOC DPM1002/01459 CDM67191
08/03/2013,BOC DPM1002/01460 CDM67192
09/03/2013,HSBC DPM1002/00308 CQM588D
14/03/2013,HSBC DPM1002/00534 CQM58B4
09/03/2013,HASE DPM1002/00287 CQM4C35
11/03/2013,HSBC DPM1002/00264 CQM584B
22/03/2013,BOC DPM1002/01249 CDM67120
25/03/2013,BOC DPM1002/01316 CDM67157
31/03/2013,Stock count
02/04/2013,BOC DPM1002/01011 CDM67076
02/04/2013,HSBC DPM1002/00534 CQM58B4
03/04/2013,HSBC DPM1002/00534 CQM58FC
06/04/2013,HSBC DPM1002/00221 CQM58AA
08/04/2013,HSBC DPM1002/00344 CQM5871
06/04/2013,HASE DPM1002/00420 CQM4C4C
09/04/2013,HSBC DPM1002/00954 CQM58CF
06/04/2013,BOC DPM1002/01116 CDM67109
10/04/2013,HASE DPM1002/01440 CQM4C40
13/04/2013,HSBC DPM1002/00346 CQM58A1
10/04/2013,HASE DPM1002/00283 CQM4C03
12/04/2013,BOC DPM1002/01094 CDM67082
12/04/2013,HASE DPM1002/00541 CQM4C24
16/04/2013,BOC DPM1002/00794 CDM67020
22/04/2013,HASE DPM1002/00301 CQM4C2A
30/04/2013,BOC DPM1002/00796 CQM67024
30/04/2013,Rototype
02/05/2013,HASE DPM1002/00538 CQM4C8F
03/05/2013,HSBC DPM1002/00402 CQM58A7
07/05/2013,HSBC DPM1002/00532 CQM58E2
21/05/2013,BOC DPM1002/00848 CDM67028
22/05/2013,BOC DPM1002/00865 CDM67041
31/05/2013,BOC DPM1002/00997 CDM67068
31/05/2013,HASE DPM1002/01024 CQM4C54
04/06/2013,HSBC DPM1002/00842 CQM5849
06/06/2013,HSBC DPM1002/00218 CQM5862
13/06/2013,BOC DPM1002/01251 CDM67179
20/06/2013,BOC DPM1002/01005 CDM67074
22/06/2013,BOC PDM1002/01277 CQM67129
28/06/2013,BOC DPM1002/01300 CDM67147
04/07/2013,BOC DPM1002/00626 CDM67208
08/07/2013,BOC DPM1002/01095 CDM67175
08/07/2013,BOC DPM1002/01099 CDM67084
08/07/2013,BOC DPM1002/01099 CDM67084
12/07/2013,Rototype
12/07/2013,NCB DPM1002/01473 CQM67820
18/07/2013,BOC DPM1002/01143 CDM67112
15/07/2013,HASE DPM1002/00555 CQM4C5B
20/07/2013,HSBC DPM1002/01121 CDM5801
24/07/2013,HSBC DPM1002/00312 CDM589F
25/07/2013,HT CONSULTING
26/07/2013,HASE DPM1002/01022 CQM4C49
05/08/2013,HSBC DPM1002/01292 CQM5890
06/08/2013,BOC DPM1002/01004 CDM67072
07/08/2013,HASE DPM1002/00217 CQM4C0A
08/08/2013,BOC DPM1002/00999 CDM67063
09/08/2013,HSBC DPM1002/00845 CQM5807
10/08/2013,HSBC DPM1002/00901 CDM67047
09/08/2013,BOC DPM1002/00997 CDM67068
12/08/2013,BOC DPM1002/01316 CDM67157
13/08/2013,Rototype International (Malasia) Sdn. Bhd
15/08/2013,BOC DPM1002/00859 CDM67035
16/08/2013,BOC DPM1002/01303 CDM67172
09/08/2013,HSBC DPM1002/00251 CQM5873
19/08/2013,HSBC DPM1002/00268 CQM5886
21/08/2013,BOC DPM1002/00715 CDM67025
23/08/2013,HSBC DPM1002/00401 CQM58A9
27/08/2013,HSBC DPM1002/00359 CQM58C2
27/08/2013,HASE DPM1002/00419 CQM4C4D
03/09/2013,BOC DPM1002/00861 CDM67037
05/09/2013,HSBC DPM1002/00397 CQM58A2
04/09/2013,BOC DPM1002/00858 CDM67034
07/09/2013,BOC DPm1002/00862 CDM67038
08/09/2013,HSBC DPM1002/00401 CQM58A9
09/09/2013,HASE DPM1002/00448 CQM4C5C
09/09/2013,HASE DPM1002/01088 CQM4C04
09/09/2013,BOC DPM1002/01457 CDM67189
09/09/2013,BOC DPM1002/67130 CDM67130
10/09/2013,HSBC DPM1002/00316 CQM5855
10/09/2013,BOC DPM1002/67033 CDM67033
11/09/2013,HASE DPM1002/00277 CQM4C43
13/09/2013,HSBC DPM1002/01442 CQM5881
14/09/2013,BOC DPM1002/01455 CDM67187
17/09/2013,BOC DPM1002/00860 CDM67036
18/09/2013,HSBC DPM1002/00347 CQM58A0
19/09/2013,Rototype International (Malasia) Sdn. Bhd
24/09/2013,NCB DPM1002/01430 CDM67815
24/09/2013,HASE DPM1002/00648 CQM4C5F
23/09/2013,HASE DPM1002/00524 CQM4C3B
24/09/2013,HASE DPM1002/01015 CQM4C07
19/09/2013,HSBC DPM1002/0400 CQM58A6
26/09/2013,HASE DPM1002/01127 CQM4C67
27/09/2013,HSBC DPM1002/00313 CQM5897
28/09/2013,HSBC DPM1002/01148 CQM58DB
30/09/2013,BOC DPM1022/01105 CDM67097
02/10/2013,BOC DPM1002/00989 CDM67057
02/10/2013,HASE DPM1002/01224 CQM4C78
03/10/2013,HSBC DPM1002/00257 CQM5892
03/10/2013,NCN DPM1002/01297 CDM67805
04/10/2013,BOC DPM1002/00622 CDM67015
05/10/2013,BOC DPM1002/01009 CDM67195
05/10/2013,HASE DPM1002/00298 CQM4C39
07/10/2013,HASE DPM1002/00411 CQM4C56
07/10/2013,BOC DPM1002/01009 CDM67195
09/10/2013,HASE DPM1002/01019 CQM4C47
09/10/2013,HASE DPM1002/00646 CQM4C32
10/10/2013,BOC DPM1002/01250 CQM67121
11/10/2013,HSBC DPM1002/00395 CQM587E
16/10/2013,HSBC DPM1002/00845 CQM5807
17/10/2013,BOC DPM1002/00994 CDM67062
18/10/2013,HSBC DPM1002/00260 CQM586F
17/10/2013,HASE DPM1002/01233 CQM4C74
17/10/2013,HSBC DPM1002/00535 CQM58E5
12/10/2013,HSBC DPM1002/01244 CQM5827
17/10/2013,BOC DPM1002/01429 CDM67197
17/10/2013,BOC DPM1002/01093 CDM67086
18/10/2013,HSBC DPM1002/01149 CQM5839
19/10/2013,HSBC DPM1002/00507 CQM58DE
17/10/2013,HASE DPM1002/00414 CQM4C13
11/10/2013,HASE DPM1002/01024 CQM4C54
21/10/2013,HASE DPM1002/00443 CQM4C55
22/10/2013,BOC DPM1002/01321 CDM67162
23/10/2013,BOC DPM1002/01290 CDM67142
23/10/2013,HASE DPM1002/00551 CQM4C20
23/10/2013,BOC DPM1002/01282 CDM67134
24/10/2013,BOC DPM1002/01290 CDM67142
24/10/2013,HSBC DPM1002/00691 CQM58AE
25/10/2013,BOC DPM1002/01290 CDM67142
26/10/2013,HSBC DPM1002/00314 CQM58A4
28/10/2013,HSBC DPM1002/01268 CQM5822
30/10/2013,HSBC DPM1002/00261 CQM5870
30/10/2013,HSBC DPM1002/00399 CQM58A8
06/11/2013,HSBC DPM1002/00291 CQM5808
10/11/2013,HASE DPM1002/00528 CQM4C7E
12/11/2013,BOC DPM1002/01276 CDM67128
12/11/2013,HSBC DPM1002/01451 CQM5895
12/11/2013,HSBC DPM1002/01451 CQM587F
12/11/2013,HASE DPM1002/00543 CQM4C41
12/11/2013,BOC DPM1002/01315 CDM67806
15/11/2013,BOC DPM1002/1255 CDM67126
29/11/2013,BOC DPM1002/01358 CDM67170
02/12/2013,BOC DPM1002/01286 CDM67138
02/12/2013,BOC DPM1002/01307 CDM67154
03/12/2013,BOC DPM1002/00863 CDM67039
03/12/2013,HASE DPM1002/00298 CQM4C39
03/12/2013,HASE DPM1002/00693 CQM4C37
14/12/2013,BOC DPM1002/00863 CDM67039
17/12/2013,BOC DPM1002/01103 CQM67221
18/12/2013,HSBC DPM1002/00360 CQM5896
17/12/2013,HSBC DPM1002/00360 CQM5896
17/12/2013,BOC DPM1002/00863 CDM67039
19/12/2013,HSBC DPM1002/00844 CQM5841
20/12/2013,HASE DPM1002/01016 CQM4C45
23/12/2013,HASE DPM1002/01020 CQM4C50
23/12/2013,HASE DPM1002/00284 CQM4C77
27/12/2013,HT CONSULTING
30/12/2014,HASE DPM1002/00300 CQM4C3D
02/01/2014,BOC DPM1002/01285 CQM67137
02/01/2014,BOC DPM1002/00993 CDM67061
04/01/2014,HSBC DPM1002/00366 CQM58B9
03/01/2014,HSBC DPM1002/01242 CQM5825
07/01/2014,HSBC DPM1002/00397 CQM58A2
10/01/2014,HSBC DPM1002/00645 CQM58AC
08/01/2014,BOC DPM1002/00902 CDM67048
09/01/2014,HSBC DPM1002/01145 CQM58FD
13/01/2014,MEGADYNE S.p.A.
13/01/2014,HSBC DPM1002/00844 CQM5841
15/01/2014,BOC DPM1002/01114 CDM67104
16/01/2014,HASE DPM1002/01225 CQM4C28
21/01/2014,HSBC DPM1002/00313 CQM5897
21/01/2014,BOC DPM1002/00627 CDM67013
